time,0 a 5 años,6 a 9 años,10 a 12 años,13 años y más
2000,7.8,10.2,10.9,6.9
2001,8.4,10.6,11.4,7.3
2002,8.7,10.9,11.7,8.0
2003,8.2,10.4,11.5,7.9
2004,7.4,9.4,10.6,7.5
2005,6.3,8.5,9.9,6.9
2006,5.7,7.5,9.1,6.3
2007,4.8,6.7,8.4,5.9
2008,4.8,6.4,7.5,5.5
2009,6.0,7.8,8.8,6.3
2010,5.2,7.5,8.4,6.4
2011,5.1,6.8,8.0,5.8
2012,4.8,6.5,7.7,5.5
2013,4.8,6.4,7.5,5.6
2014,4.7,6.2,7.7,5.8
2015,4.6,6.6,8.1,5.9
2016,4.9,6.7,8.4,6.3
2017,4.6,6.6,8.2,6.0
2018,4.9,6.8,8.5,6.3
2019,5.4,7.1,8.6,6.4
2020,7.7,9.4,11.5,8.3
2021,6.7,8.6,10.6,7.8
